Order Date,Product Name,Category,Region,Quantity,Sales,Profit
2024-06-09,Monitor,Technology,South,3,222.55,26.43
2025-02-16,Monitor,Technology,North,10,3415.83,932.67
2024-02-21,Tablet,Technology,South,9,255.74,18.78
2025-12-21,Headphone,Technology,West,4,230.03,22.94
2025-08-13,Phone,Technology,North,3,2987.4,753.89
2026-05-28,Tablet,Technology,East,2,1767.23,157.05
2024-11-06,Monitor,Technology,East,10,1961.64,274.13
2023-11-24,Printer,Office Supplies,North,7,4054.93,942.5
2025-07-13,Monitor,Technology,East,10,2805.0,721.87
2025-10-16,Mouse,Technology,South,5,3552.4,218.32
2025-03-25,Monitor,Technology,West,5,4291.06,1144.09
2024-03-12,Phone,Technology,East,6,3214.85,453.96
2023-06-14,Mouse,Technology,North,10,3383.86,762.91
2025-12-29,Keyboard,Technology,West,7,2717.29,302.17
2024-05-31,Printer,Office Supplies,South,6,4948.66,1039.22
2025-05-30,Laptop,Technology,East,7,1222.34,70.93
2024-02-11,Printer,Office Supplies,East,4,424.32,118.08
2025-07-26,Phone,Technology,West,3,2038.6,568.03
2025-04-12,Printer,Office Supplies,East,10,784.19,185.26
2025-09-10,Tablet,Technology,South,3,4499.33,674.23
2025-03-12,Speaker,Technology,North,3,2518.23,601.72
2025-02-11,Keyboard,Technology,North,7,3981.19,619.23
2023-07-20,Tablet,Technology,East,9,3019.85,504.35
2025-02-03,Laptop,Technology,East,6,3433.39,269.99
2023-08-26,Monitor,Technology,North,5,1538.15,137.73
2023-12-23,Speaker,Technology,North,5,3833.61,678.24
2025-10-18,Speaker,Technology,South,9,3083.95,272.03
2024-10-03,Speaker,Technology,West,1,4600.62,918.91
2026-04-17,Monitor,Technology,East,4,4652.58,1254.71
2025-11-23,Laptop,Technology,North,2,1280.27,245.61
2024-07-05,Phone,Technology,South,3,4098.51,1207.0
2024-10-22,Phone,Technology,West,4,4739.56,432.64
2023-10-03,Speaker,Technology,East,7,3800.8,845.55
2025-03-18,Scanner,Office Supplies,North,4,2246.69,403.04
2024-02-02,Mouse,Technology,South,10,413.73,22.86
2024-08-21,Mouse,Technology,North,4,135.24,30.69
2025-11-16,Monitor,Technology,North,9,4536.56,1201.77
2023-09-20,Mouse,Technology,South,10,1464.54,250.95
2023-12-11,Headphone,Technology,West,4,2416.09,594.73
2026-01-14,Monitor,Technology,West,7,574.96,90.71
2024-01-21,Phone,Technology,North,1,4332.8,275.32
2026-01-07,Tablet,Technology,North,4,3668.25,917.61
2024-07-03,Mouse,Technology,West,3,1032.02,167.35
2026-03-16,Printer,Office Supplies,North,8,2366.88,635.79
2024-10-30,Speaker,Technology,North,2,579.75,123.51
2024-01-13,Mouse,Technology,South,7,914.92,156.83
2025-11-06,Laptop,Technology,West,5,906.72,45.82
2023-10-09,Phone,Technology,West,3,1497.72,335.71
2023-07-21,Mouse,Technology,North,6,1553.87,454.01
2024-05-25,Laptop,Technology,South,1,345.7,58.49
2024-06-11,Speaker,Technology,North,4,492.55,47.51
2024-12-17,Tablet,Technology,South,10,687.44,187.38
2023-06-27,Headphone,Technology,East,5,294.73,20.78
2026-03-01,Mouse,Technology,East,7,3381.66,434.7
2024-08-25,Keyboard,Technology,East,2,3391.28,423.91
2026-02-03,Laptop,Technology,North,2,2345.6,702.77
2026-03-09,Speaker,Technology,East,2,1144.46,133.1
2023-12-02,Mouse,Technology,East,10,1910.68,170.88
2026-03-02,Speaker,Technology,East,2,138.33,35.17
2025-08-27,Keyboard,Technology,South,5,1395.88,380.28
2026-03-03,Printer,Office Supplies,South,5,3063.67,702.82
2025-07-21,Speaker,Technology,North,2,2493.81,689.12
2024-02-17,Tablet,Technology,East,3,4163.81,254.08
2025-12-07,Printer,Office Supplies,West,9,891.75,143.09
2026-02-03,Laptop,Technology,South,9,648.18,185.55
2024-04-19,Laptop,Technology,South,7,4189.52,819.58
2025-07-21,Keyboard,Technology,North,6,304.96,43.05
2026-03-31,Mouse,Technology,East,9,3442.13,746.02
2026-02-13,Tablet,Technology,South,3,4871.8,1156.42
2023-11-05,Keyboard,Technology,East,7,4418.94,248.33
2025-05-17,Mouse,Technology,North,7,1407.35,347.4
2023-11-15,Laptop,Technology,West,6,4307.11,454.87
2024-04-29,Printer,Office Supplies,South,1,4120.63,1103.63
2026-03-05,Mouse,Technology,North,5,2052.48,245.58
2024-12-21,Scanner,Office Supplies,East,1,3243.26,486.23
2025-05-06,Monitor,Technology,East,1,4397.49,507.05
2024-07-15,Monitor,Technology,East,7,3023.2,412.43
2024-12-22,Headphone,Technology,South,5,4922.76,388.46
2024-10-08,Laptop,Technology,South,6,3573.05,180.16
2024-03-03,Tablet,Technology,East,10,442.87,95.69
2025-10-09,Scanner,Office Supplies,East,9,3350.6,271.92
2025-06-11,Printer,Office Supplies,East,9,3367.78,443.02
2025-04-23,Keyboard,Technology,West,3,1040.02,224.89
2024-08-11,Headphone,Technology,North,5,2888.62,437.68
2024-10-26,Printer,Office Supplies,East,8,1129.9,278.45
2024-04-16,Phone,Technology,West,3,2266.58,234.42
2024-11-25,Monitor,Technology,East,2,1490.55,321.9
2026-05-09,Mouse,Technology,South,3,3396.7,360.59
2024-11-30,Laptop,Technology,North,8,326.45,96.62
2026-03-06,Tablet,Technology,West,8,4442.07,861.4
2025-08-29,Tablet,Technology,North,2,1295.52,277.26
2024-06-30,Tablet,Technology,West,1,1172.32,294.28
2023-09-27,Speaker,Technology,West,3,1321.07,346.23
2023-10-21,Phone,Technology,East,8,3371.13,1001.13
2023-08-08,Headphone,Technology,West,9,4093.53,1117.55
2025-08-24,Phone,Technology,West,8,4496.32,1060.74
